mof_id,adsorption_energy,Material,ID,CF,M_O_M,Benzene,Parellel,Parellel68,DistanceParallel68,DistanceParallel68Direct,uncoordN,Unnamed: 10
REDROI_0.08_0_w_CO2_2H2O_1,-1.7109649699991678,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_2H2O_2,-1.4192342199999075,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_2H2O_3,-1.4083112199998595,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_1,-0.5424614599999131,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_2,-0.5505681600000116,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_3,-0.6263998199999605,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_4,-0.4417965699999513,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_5,-0.5313408100000743,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_6,-0.4489552699999422,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_random_1,-0.5432026900000437,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_random_2,-0.5373557600000822,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_1,-0.6664308399995207,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_2,-0.658674929999961,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_3,-0.5041783899996517,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_4,-0.7027472499994474,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_5,-0.8806134099995688,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_6,-0.8677553800000624,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_7,-0.8041561600000477,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_8,-0.9646142099995814,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_9,-0.9453012400001626,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_random_1,-0.9349451599998702,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_CO2_H2O_random_2,-0.6363451999995959,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_1,-0.2851904899998772,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_2,-0.2536300500000834,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_3,-0.2058551499999339,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_4,-0.3425910999997086,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_random_1,-0.3240628799999285,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
REDROI_0.08_0_w_H2O_random_2,-0.2035160799998721,REDROI_0.08_0,4,H_25_C_44_O_24_Zn_10,1,1,1,1,7.2415066,8.426583,0,
BIMDIL_w_CO2_1,-0.3108692600000609,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_2,-0.3618011799999863,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_3,-0.3817201000000523,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_4,-0.548120640000036,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_random_1,-0.458123070000056,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_random_2,-0.4615682599999786,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_2H2O_1,-1.3373096899999837,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_2H2O_2,-1.454337770000052,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_2H2O_3,-1.5883629800000565,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_2H2O_4,-1.764755849999915,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
BIMDIL_w_CO2_H2O_1,-0.949263980000012,BIMDIL,1,H_6_C_7_O_4_Cu_1,0,0,0,0,0.0,0.0,0,
